Date,Equity
2023-05-16,200147.83474626672
2023-05-17,200554.22490272863
2023-05-18,202151.54673316522
2023-05-19,202911.19684644585
2023-05-22,203720.4225167393
2023-05-23,204988.28351153753
2023-05-24,206011.59340207462
2023-05-25,209892.12990924926
2023-05-26,209581.10991167722
2023-05-29,213804.9023949239
2023-05-30,213210.0760191918
2023-05-31,214836.9222109021
2023-06-01,216884.24584708302
2023-06-02,224006.72439872386
2023-06-05,224358.87055542367
2023-06-06,222855.6368534125
2023-06-07,227292.02140720564
2023-06-08,222690.37291741016
2023-06-09,229272.91085613635
2023-06-12,227949.36404183527
2023-06-13,232075.44555905997
2023-06-14,234487.31359611353
2023-06-15,242507.76852702093
2023-06-16,242800.31441591214
2023-06-19,241492.40491632692
2023-06-20,241160.55293839594
2023-06-21,244540.83299270488
2023-06-26,240043.12891244076
2023-06-27,231582.08151064932
2023-06-28,233317.75626958252
2023-06-29,237327.94415406158
2023-06-30,243437.93084239907
2023-07-03,252259.81048515113
2023-07-04,265909.2558644376
2023-07-05,263303.7087766374
2023-07-06,262489.95709538076
2023-07-07,261240.4056458837
2023-07-10,263010.2240901834
2023-07-11,273856.7965678322
2023-07-12,282500.9926569129
2023-07-13,289763.5618535889
2023-07-14,297856.9100221894
2023-07-17,299957.4462564559
2023-07-18,298263.78511302185
2023-07-19,293656.1136243167
2023-07-20,302023.6366092876
2023-07-21,316807.602077759
2023-07-24,323192.3218024816
2023-07-25,318340.13541465916
2023-07-26,317722.56124926923
2023-07-27,316831.43538103317
2023-07-28,323421.3480139838
2023-07-31,315463.19423648494
2023-08-01,312293.4074884029
2023-08-02,290634.3801638052
2023-08-04,292591.58298618917
2023-08-07,307324.27557420556
2023-08-08,305297.4049669462
2023-08-09,305439.0196099372
2023-08-10,290477.3275130381
2023-08-11,294958.6054517996
2023-08-14,290497.5849456802
2023-08-15,301863.46837940667
2023-08-16,310331.0649851381
2023-08-17,318605.1951682676
2023-08-18,309273.4534623094
2023-08-21,314907.58744662855
2023-08-22,319287.79921832087
2023-08-23,322096.78207028913
2023-08-24,324648.3112788999
2023-08-25,318090.9754384693
2023-08-28,314430.9858806944
2023-08-29,314680.6396284668
2023-08-30,314484.20678443304
2023-08-31,314390.3615347032
2023-09-01,312551.9260757593
2023-09-04,312744.8313592633
2023-09-05,312568.9010736684
2023-09-06,313589.54388352606
2023-09-07,313316.0834337381
2023-09-08,312262.5858878122
2023-09-11,310329.7036284774
2023-09-12,310215.17871684
2023-09-13,311208.0298630826
2023-09-14,312023.0546120176
2023-09-15,311811.99188309466
2023-09-18,311057.6172336664
2023-09-19,310155.03015044646
2023-09-20,307792.37281909306
2023-09-21,305304.59449556185
2023-09-22,306259.8131196621
2023-09-25,307303.6242453848
2023-09-26,306450.29827650404
2023-09-27,307317.83935894404
2023-09-28,307744.70892896754
2023-10-02,307774.1222210859
2023-10-03,307954.0849240383
2023-10-04,307904.1006958369
2023-10-05,308490.13795248745
2023-10-06,308184.6012462588
2023-10-11,308105.7918731648
2023-10-12,308380.7264474159
2023-10-13,309261.8517436782
2023-10-16,308377.40380127187
2023-10-17,306967.9882927805
2023-10-18,302227.0463467201
2023-10-19,303388.3710754753
2023-10-20,302809.88312127005
2023-10-23,299627.8764280624
2023-10-24,299664.762026767
2023-10-25,299199.04888003424
2023-10-26,297378.6756428731
2023-10-27,297689.5376156167
2023-10-30,298781.16158930457
2023-10-31,296287.2733564919
2023-11-01,296406.61769747146
2023-11-02,298821.834797616
2023-11-03,300673.170679039
2023-11-06,304113.83750648197
2023-11-07,310552.7606722779
2023-11-08,312133.3207889968
2023-11-09,310645.4332266695
2023-11-10,306390.9769964305
2023-11-13,304959.4193163485
2023-11-14,306032.49736666656
2023-11-15,304631.0170733067
2023-11-16,304945.76611973287
2023-11-17,307490.92608273873
2023-11-20,306363.42943654157
2023-11-21,306665.76785663585
2023-11-22,306149.27675677475
2023-11-23,303093.1668044675
2023-11-24,301792.8214687722
2023-11-27,298640.2456940481
2023-11-28,303590.0538324249
2023-11-29,305790.0546864275
2023-11-30,306431.31220723304
2023-12-01,307042.6469835758
2023-12-04,311124.83740001713
2023-12-05,317913.2710139305
2023-12-06,318452.7861819805
2023-12-07,322166.7412319723
2023-12-08,326632.7317479433
2023-12-11,322997.1291328698
2023-12-12,326087.9570245056
2023-12-13,325889.59421685495
2023-12-14,326333.97621815314
2023-12-15,323993.556
2023-12-18,322605.5877902482
2023-12-19,319436.44044631073
2023-12-20,320481.6673805983
2023-12-21,318525.4605284411
2023-12-22,319700.9709617673
2023-12-25,313768.7136924379
2023-12-26,317941.87424313166
2023-12-27,320705.90125855716
2023-12-28,321881.931303198
2023-12-29,320398.5156222356
2024-01-02,320101.37424570275
2024-01-03,317334.2661132579
2024-01-04,317415.89553450525
2024-01-05,317292.0900297346
2024-01-08,315241.8042897251
2024-01-09,308042.2123685924
2024-01-10,303304.3843069957
2024-01-11,304239.5254336517
2024-01-12,304339.5962361026
2024-01-15,302788.52807304636
2024-01-16,301994.05196124234
2024-01-17,299346.55839911
2024-01-18,301957.0119622441
2024-01-19,304980.5303289031
2024-01-22,308832.2895252522
2024-01-23,309773.59093044605
2024-01-24,308703.555685415
2024-01-25,308425.1648962699
2024-01-26,304056.9035011492
2024-01-29,306121.7301294385
2024-01-30,311652.23464005894
2024-01-31,311313.7039916753
2024-02-01,322034.91004618816
2024-02-02,331963.2208087295
2024-02-05,335617.2418594763
2024-02-15,349604.3357283276
2024-02-16,342568.5747906277
2024-02-19,335434.67448153824
2024-02-20,333946.04697747255
2024-02-21,331421.7125042456
2024-02-22,334619.40976690804
2024-02-23,334198.12197101663
2024-02-26,335103.00105876935
2024-02-27,328621.1395713035
2024-02-29,336754.38833479816
2024-03-01,341505.22012028436
2024-03-04,345129.9402321094
2024-03-05,353696.91119806527
2024-03-06,361751.10419409815
2024-03-07,357399.56856217835
2024-03-08,349773.0009238278
2024-03-11,352678.6047427614
2024-03-12,357227.60550007556
2024-03-13,354245.96597449796
2024-03-14,344573.3922742114
2024-03-15,340209.2780324563
2024-03-18,351573.54889903107
2024-03-19,353535.31112717034
2024-03-20,351790.5330439901
2024-03-21,356283.5213480357
2024-03-22,355296.164568645
2024-03-25,355982.0043223123
2024-03-26,348629.2828856759
2024-03-27,351011.994092614
2024-03-28,352033.852841971
2024-03-29,353140.0927059514
2024-04-01,350097.6372533222
2024-04-02,360507.6091676672
2024-04-03,361813.96301278454
