,Score
2883,3.9833333333333334
2884,3.8666666666666667
2887,3.8
1303,3.65
2881,3.65
2892,3.6166666666666667
3443,3.6
2454,3.466666666666667
2303,3.4666666666666663
2890,3.3333333333333335
6505,3.216666666666667
2882,3.116666666666667
1326,3.033333333333333
2615,2.9833333333333334
2885,2.95
2834,2.9166666666666665
2891,2.783333333333333
2886,2.7166666666666663
1301,2.6999999999999997
2449,2.6166666666666667
2377,2.5666666666666664
3044,2.55
2412,2.4833333333333334
3017,2.416666666666667
6770,2.283333333333333
2609,2.2333333333333334
2357,2.1500000000000004
3034,2.1500000000000004
2408,2.1
2382,2.066666666666667
6239,2.0166666666666666
2301,2.0
6669,1.9833333333333334
3711,1.9333333333333333
3481,1.8666666666666667
2395,1.8333333333333333
2330,1.7
3231,1.6333333333333333
2603,1.5833333333333333
2317,1.5333333333333334
2379,1.4666666666666668
2376,1.45
2344,1.3499999999999999
1101,1.25
1519,1.2166666666666668
2360,1.2000000000000002
2634,0.8833333333333333
2308,0.8666666666666666
2368,0.8500000000000001
2324,0.8333333333333333
6415,0.6833333333333335
3036,0.65
2404,0.5
3037,0.41666666666666663
2383,0.3833333333333333
3533,0.3833333333333333
2327,0.3166666666666667
3661,0.31666666666666665
6446,0.23333333333333334
2345,0.2
