Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Return_Pct,Reason,Days_Held,TP_Price,SL_Price
2618,2022-05-09,2022-05-12,30.95,27.56,-0.1155,🔴 停損,3,36.37,27.56
2603,2022-05-06,2022-05-16,130.92,119.82,-0.091,🔴 停損,6,148.68,119.82
2606,2022-05-09,2022-05-16,50.88,44.9,-0.1236,🔴 停損,5,60.45,44.9
3533,2022-05-06,2022-05-20,665.07,760.17,0.1352,🟢 停利,10,760.17,605.64
1760,2022-05-06,2022-05-23,113.51,87.71,-0.2326,🔴 停損,11,154.79,87.71
3533,2022-05-20,2022-05-26,726.02,661.22,-0.0955,🔴 停損,4,829.71,661.22
1605,2022-05-06,2022-05-27,34.18,38.34,0.114,⚪ 時間到期,15,43.13,28.59
2637,2022-05-06,2022-05-27,73.31,70.01,-0.0516,⚪ 時間到期,15,88.5,63.82
2605,2022-05-06,2022-05-27,24.76,22.36,-0.103,⚪ 時間到期,15,30.46,21.19
4904,2022-05-06,2022-05-27,66.34,68.56,0.0265,⚪ 時間到期,15,71.88,62.87
6446,2022-05-09,2022-05-30,319.98,315.67,-0.0202,⚪ 時間到期,15,370.42,288.46
2634,2022-05-12,2022-06-02,30.03,30.55,0.0103,⚪ 時間到期,15,34.82,27.04
3443,2022-05-16,2022-06-07,505.33,539.07,0.0595,⚪ 時間到期,15,610.1,439.85
6770,2022-05-16,2022-06-07,55.78,54.07,-0.0372,⚪ 時間到期,15,62.3,51.7
3017,2022-05-26,2022-06-07,109.24,98.06,-0.1085,🔴 停損,7,127.12,98.06
1605,2022-06-02,2022-06-09,40.93,35.86,-0.1298,🔴 停損,4,49.04,35.86
6446,2022-05-30,2022-06-10,320.87,389.15,0.2045,🟢 停利,8,389.15,278.19
8454,2022-06-10,2022-06-13,524.95,475.77,-0.0999,🔴 停損,1,603.65,475.77
2379,2022-05-23,2022-06-14,345.91,341.58,-0.0193,⚪ 時間到期,15,385.53,321.15
2637,2022-05-27,2022-06-14,72.23,63.49,-0.127,🔴 停損,11,86.22,63.49
2368,2022-06-14,2022-06-16,92.0,84.97,-0.0827,🔴 停損,2,103.25,84.97
2609,2022-05-27,2022-06-17,62.88,56.9,-0.1012,🔴 停損,14,71.45,57.52
3711,2022-06-07,2022-06-17,83.34,78.34,-0.0664,🔴 停損,8,90.45,78.9
2454,2022-06-07,2022-06-17,660.73,621.2,-0.0663,🔴 停損,8,720.43,623.42
2474,2022-05-27,2022-06-20,123.28,121.65,-0.0199,⚪ 時間到期,15,134.06,116.54
2317,2022-05-27,2022-06-20,91.26,90.34,-0.0168,⚪ 時間到期,15,96.39,88.04
3443,2022-06-07,2022-06-22,517.44,456.59,-0.1236,🔴 停損,11,614.81,456.59
3711,2022-06-17,2022-06-24,78.42,73.67,-0.067,🔴 停損,5,86.02,73.67
6446,2022-06-13,2022-06-29,393.75,455.64,0.1493,🟢 停利,12,455.64,355.07
1605,2022-06-09,2022-06-30,36.39,32.37,-0.1166,⚪ 時間到期,15,44.34,31.42
3036,2022-06-20,2022-06-30,61.09,56.61,-0.0797,🔴 停損,8,68.26,56.61
2201,2022-06-22,2022-06-30,43.77,40.93,-0.0712,🔴 停損,6,48.3,40.93
9945,2022-06-14,2022-07-01,46.86,44.23,-0.0625,🔴 停損,13,51.06,44.23
1326,2022-06-17,2022-07-01,70.9,68.75,-0.037,🔴 停損,10,74.34,68.75
2368,2022-06-30,2022-07-01,85.08,75.69,-0.1165,🔴 停損,1,100.11,75.69
2345,2022-06-17,2022-07-04,221.27,195.1,-0.1243,🔴 停損,11,257.14,198.85
1301,2022-06-24,2022-07-05,91.96,88.47,-0.0446,🔴 停損,7,97.55,88.47
2201,2022-06-30,2022-07-06,41.96,38.08,-0.0987,🔴 停損,4,48.17,38.08
5876,2022-06-16,2022-07-07,44.64,43.51,-0.032,⚪ 時間到期,15,49.0,41.91
2474,2022-06-20,2022-07-07,124.4,116.68,-0.0685,🔴 停損,13,136.75,116.68
1216,2022-07-01,2022-07-07,57.65,60.66,0.0451,🟢 停利,4,60.66,55.77
1760,2022-06-30,2022-07-11,115.09,101.72,-0.1222,🔴 停損,7,136.49,101.72
4904,2022-07-07,2022-07-12,73.31,69.79,-0.0545,🔴 停損,3,78.93,69.79
6446,2022-06-29,2022-07-15,447.08,397.3,-0.1174,🔴 停損,12,526.73,397.3
1216,2022-07-07,2022-07-18,59.62,57.54,-0.0414,🔴 停損,7,62.94,57.54
3045,2022-07-01,2022-07-19,91.87,88.89,-0.039,🔴 停損,12,96.63,88.89
2412,2022-07-04,2022-07-20,111.42,107.1,-0.0454,🔴 停損,12,118.34,107.1
2317,2022-07-01,2022-07-22,90.01,92.38,0.0193,⚪ 時間到期,15,97.39,85.4
2634,2022-07-05,2022-07-26,31.04,32.53,0.0408,⚪ 時間到期,15,36.98,27.33
2201,2022-07-06,2022-07-27,39.19,40.64,0.0301,⚪ 時間到期,15,45.7,35.12
8454,2022-07-07,2022-07-28,551.85,593.59,0.0683,⚪ 時間到期,15,663.32,482.18
2308,2022-07-12,2022-07-28,215.17,242.9,0.1212,🟢 停利,12,242.9,197.83
1760,2022-07-11,2022-08-01,104.5,106.24,0.0097,⚪ 時間到期,15,132.77,86.83
8454,2022-07-28,2022-08-04,620.46,530.3,-0.1512,🔴 停損,5,764.73,530.3
2368,2022-08-01,2022-08-04,82.45,73.42,-0.1156,🔴 停損,3,96.9,73.42
2912,2022-07-15,2022-08-05,249.42,252.33,0.0048,⚪ 時間到期,15,265.7,239.23
2368,2022-08-04,2022-08-05,80.02,72.05,-0.1058,🔴 停損,1,92.59,72.17
2345,2022-07-18,2022-08-08,231.48,248.25,0.0651,⚪ 時間到期,15,281.71,200.08
2618,2022-07-19,2022-08-09,28.5,27.71,-0.0342,⚪ 時間到期,15,33.53,25.35
3017,2022-07-20,2022-08-10,99.56,103.6,0.0335,⚪ 時間到期,15,117.39,88.41
3443,2022-07-22,2022-08-12,532.86,527.52,-0.0168,⚪ 時間到期,15,659.83,453.51
2634,2022-07-26,2022-08-16,32.52,32.9,0.0049,⚪ 時間到期,15,37.68,29.29
6446,2022-07-27,2022-08-17,485.3,493.7,0.0103,⚪ 時間到期,15,594.79,416.88
2308,2022-07-28,2022-08-18,241.77,254.12,0.0439,⚪ 時間到期,15,267.04,225.97
5871,2022-08-16,2022-08-24,186.75,174.96,-0.0695,🔴 停損,6,205.61,174.96
2301,2022-08-04,2022-08-25,54.33,55.66,0.0176,⚪ 時間到期,15,59.84,50.88
3711,2022-08-05,2022-08-26,75.92,75.16,-0.0168,⚪ 時間到期,15,83.14,71.41
1101,2022-08-05,2022-08-26,34.85,35.3,0.0061,⚪ 時間到期,15,37.08,33.45
2345,2022-08-08,2022-08-29,244.7,262.02,0.0635,⚪ 時間到期,15,289.84,216.49
3035,2022-08-26,2022-08-29,187.29,167.47,-0.1119,🔴 停損,1,219.0,167.47
6285,2022-08-09,2022-08-30,69.73,72.41,0.0313,⚪ 時間到期,15,76.94,65.22
3017,2022-08-10,2022-08-31,106.93,103.73,-0.0366,⚪ 時間到期,15,123.99,96.27
1760,2022-08-17,2022-08-31,127.52,148.58,0.1572,🟢 停利,10,148.58,114.35
3533,2022-08-26,2022-09-01,717.58,656.18,-0.0918,🔴 停損,4,815.83,656.18
2890,2022-08-12,2022-09-02,14.4,14.26,-0.0164,⚪ 時間到期,15,15.46,13.74
3661,2022-08-24,2022-09-02,761.97,903.42,0.1775,🟢 停利,7,903.42,673.56
1760,2022-08-31,2022-09-07,139.95,121.5,-0.1378,🔴 停損,5,169.47,121.5
6446,2022-08-18,2022-09-08,489.75,492.81,-0.0006,⚪ 時間到期,15,581.65,432.31
1605,2022-08-25,2022-09-16,35.63,35.33,-0.0153,⚪ 時間到期,15,40.66,32.49
3035,2022-08-29,2022-09-16,168.56,146.87,-0.1346,🔴 停損,13,201.4,148.04
2345,2022-08-29,2022-09-20,262.28,275.78,0.0443,⚪ 時間到期,15,304.66,235.79
6285,2022-08-30,2022-09-21,71.02,72.32,0.0114,⚪ 時間到期,15,78.69,66.23
2474,2022-08-31,2022-09-22,134.89,135.67,-0.0011,⚪ 時間到期,15,145.67,128.15
3481,2022-09-01,2022-09-23,11.82,10.85,-0.0878,🔴 停損,15,13.36,10.85
3661,2022-09-02,2022-09-26,834.31,845.0,0.0059,⚪ 時間到期,15,978.26,744.34
2618,2022-09-02,2022-09-26,29.93,27.88,-0.075,🔴 停損,15,33.22,27.88
2376,2022-09-16,2022-09-27,87.45,81.0,-0.0801,🔴 停損,7,97.78,81.0
2360,2022-09-20,2022-09-28,182.15,163.41,-0.109,🔴 停損,6,212.13,163.41
1605,2022-09-21,2022-09-28,37.93,34.63,-0.0931,🔴 停損,5,43.2,34.63
2368,2022-09-23,2022-09-28,87.8,82.08,-0.0715,🔴 停損,3,96.95,82.08
1760,2022-09-07,2022-09-29,126.14,126.93,-0.0006,⚪ 時間到期,15,164.31,102.28
2368,2022-09-28,2022-09-29,86.7,79.94,-0.0842,🔴 停損,1,97.5,79.94
2383,2022-09-08,2022-09-30,162.55,145.35,-0.112,🔴 停損,15,187.7,146.83
3533,2022-09-16,2022-09-30,734.12,668.61,-0.0955,🔴 停損,10,838.94,668.61
2892,2022-09-30,2022-10-04,22.08,21.24,-0.0446,🔴 停損,2,23.42,21.24
3017,2022-09-26,2022-10-11,109.58,100.37,-0.0902,🔴 停損,10,124.3,100.37
1605,2022-09-28,2022-10-11,36.44,33.09,-0.0981,🔴 停損,8,41.8,33.09
2368,2022-10-04,2022-10-11,88.73,80.1,-0.1034,🔴 停損,4,102.53,80.1
3661,2022-09-26,2022-10-12,876.12,729.86,-0.1726,🔴 停損,11,1079.77,748.85
3443,2022-09-27,2022-10-12,562.73,476.5,-0.159,🔴 停損,10,656.68,504.01
6285,2022-09-22,2022-10-14,71.71,75.15,0.0409,⚪ 時間到期,15,80.65,66.12
2345,2022-10-11,2022-10-14,264.66,237.48,-0.1088,🔴 停損,3,308.14,237.48
2376,2022-09-28,2022-10-17,83.03,75.2,-0.1004,🔴 停損,12,95.17,75.43
6669,2022-09-29,2022-10-17,694.03,640.48,-0.0835,🔴 停損,11,779.72,640.48
2834,2022-10-12,2022-10-17,10.12,9.67,-0.0514,🔴 停損,3,10.85,9.67
1216,2022-09-29,2022-10-20,59.92,57.73,-0.0432,🔴 停損,14,63.43,57.73
3533,2022-09-30,2022-10-24,670.72,665.46,-0.0146,⚪ 時間到期,15,773.16,606.7
2474,2022-10-24,2022-10-25,135.81,128.87,-0.0576,🔴 停損,1,146.92,128.87
2368,2022-10-11,2022-10-26,81.9,71.68,-0.1308,🔴 停損,11,98.26,71.68
1760,2022-10-11,2022-11-01,134.88,137.97,0.0159,⚪ 時間到期,15,168.55,113.84
2308,2022-10-12,2022-11-02,247.84,250.39,0.0034,⚪ 時間到期,15,276.84,229.71
2408,2022-10-14,2022-11-04,51.1,53.08,0.0316,⚪ 時間到期,15,57.59,47.04
2912,2022-10-14,2022-11-04,251.68,237.04,-0.0646,🔴 停損,15,275.1,237.04
6285,2022-10-17,2022-11-07,74.28,73.26,-0.0204,⚪ 時間到期,15,86.84,66.43
3481,2022-10-17,2022-11-07,12.09,12.47,0.0242,⚪ 時間到期,15,13.59,11.15
2360,2022-10-17,2022-11-07,166.55,165.01,-0.016,⚪ 時間到期,15,197.08,147.47
9945,2022-10-20,2022-11-10,37.24,41.95,0.1188,⚪ 時間到期,15,43.51,33.32
2327,2022-11-07,2022-11-11,74.21,84.6,0.1321,🟢 停利,4,82.42,69.08
2201,2022-10-25,2022-11-15,41.65,47.37,0.1297,🟢 停利,15,47.37,38.07
1303,2022-10-26,2022-11-16,63.58,66.94,0.0456,⚪ 時間到期,15,69.43,59.93
2376,2022-11-04,2022-11-18,88.1,100.91,0.1376,🟢 停利,10,99.9,80.73
