name,args,ann,sharpe,sortino,calmar,mdd,trades,win_rate,pf
sl=3.5,--sl-atr 3.5,68.08,2.586,3.947,3.332,-20.4,636,58.3,1.89
k=4,--top-k 4,59.72,2.168,3.238,2.378,-25.1,733,52.3,1.55
k=6,--top-k 6,59.39,2.161,3.235,2.666,-22.3,735,52.2,1.56
hold=25,--hold-days 25,57.2,2.146,3.165,3.329,-17.2,552,54.7,1.73
slip=0.2%,--slippage 0.002,58.83,2.126,3.173,2.484,-23.7,739,51.7,1.56
slip=0.1%,--slippage 0.001,57.26,2.097,3.133,2.225,-25.7,734,51.6,1.54
tp=4.5,--tp-atr 4.5,56.64,2.092,3.104,2.486,-22.8,702,52.6,1.61
baseline,,57.08,2.09,3.123,2.218,-25.7,734,51.6,1.54
hold=15,--hold-days 15,57.08,2.09,3.123,2.218,-25.7,734,51.6,1.54
sl=2.5,--sl-atr 2.5,57.08,2.09,3.123,2.218,-25.7,734,51.6,1.54
tp=3.5,--tp-atr 3.5,55.52,2.07,3.063,2.572,-21.6,782,54.5,1.49
k=5,--top-k 5,56.64,2.067,3.085,2.082,-27.2,734,52.2,1.53
dyn-risk,--dynamic-risk,42.81,1.834,2.754,2.338,-18.3,722,51.7,1.52
gap=1.5+dyn,--gap-filter 1.5 --dynamic-risk,42.81,1.834,2.754,2.338,-18.3,722,51.7,1.52
hold=30,--hold-days 30,48.39,1.806,2.635,2.364,-20.5,522,54.2,1.67
hold=20,--hold-days 20,45.46,1.686,2.445,2.162,-21.0,617,50.7,1.5
